t=2021-11-22T19:45:24-0500 lvl=info msg="no configuration paths supplied"
t=2021-11-22T19:45:24-0500 lvl=info msg="using configuration at default config path" path=C:\\Users\\Cesar/.ngrok2/ngrok.yml
t=2021-11-22T19:45:24-0500 lvl=info msg="open config file" path=C:\\Users\\Cesar\\.ngrok2\\ngrok.yml err=nil
t=2021-11-22T19:45:24-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2021-11-22T19:45:24-0500 lvl=info msg=start pg=/grpc/agent.Web/State id=cef41e9f4aa185ba
t=2021-11-22T19:45:24-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2021-11-22T19:45:24-0500 lvl=info msg="client session established" obj=csess id=11348fed500d
t=2021-11-22T19:45:24-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=//localhost:3389 url=tcp://8.tcp.ngrok.io:16206
t=2021-11-22T19:52:56-0500 lvl=info msg="join connections" obj=join id=7d8737049336 l=[::1]:3389 r=34.125.158.19:46820
t=2021-11-22T19:52:57-0500 lvl=info msg="join connections" obj=join id=bf525fdabf93 l=[::1]:3389 r=34.125.158.19:46838
t=2021-11-22T19:52:58-0500 lvl=info msg="join connections" obj=join id=7ddb22b34645 l=[::1]:3389 r=34.125.158.19:32836
t=2021-11-22T19:52:59-0500 lvl=info msg="join connections" obj=join id=5b3c338dd046 l=[::1]:3389 r=34.125.158.19:32860
t=2021-11-22T19:53:00-0500 lvl=info msg="join connections" obj=join id=1d8b8f552303 l=[::1]:3389 r=34.125.158.19:32884
t=2021-11-22T19:53:01-0500 lvl=info msg="join connections" obj=join id=2a4e046f1b48 l=[::1]:3389 r=34.125.158.19:32900
t=2021-11-22T19:53:02-0500 lvl=info msg="join connections" obj=join id=2654288893f4 l=[::1]:3389 r=34.125.158.19:32950
t=2021-11-22T19:53:03-0500 lvl=info msg="join connections" obj=join id=6c48d60f62db l=[::1]:3389 r=34.125.158.19:32984
t=2021-11-22T19:53:04-0500 lvl=info msg="join connections" obj=join id=188ec57f2d8b l=[::1]:3389 r=34.125.158.19:33034
t=2021-11-22T19:56:33-0500 lvl=info msg="join connections" obj=join id=47dec6343aba l=[::1]:3389 r=35.199.5.104:45304
t=2021-11-22T19:56:34-0500 lvl=info msg="join connections" obj=join id=6fc95241812d l=[::1]:3389 r=35.199.5.104:45350
t=2021-11-22T20:21:25-0500 lvl=info msg="join connections" obj=join id=88c3754dab3f l=[::1]:3389 r=35.199.5.104:58952
t=2021-11-22T20:21:26-0500 lvl=info msg="join connections" obj=join id=4a66bd55fc76 l=[::1]:3389 r=35.199.5.104:58986
t=2021-11-22T20:35:39-0500 lvl=info msg="join connections" obj=join id=e1ea35676382 l=[::1]:3389 r=5.62.49.89:35970
t=2021-11-22T20:44:57-0500 lvl=info msg="join connections" obj=join id=dc1f006d7f89 l=[::1]:3389 r=35.199.5.104:47846
t=2021-11-22T20:44:58-0500 lvl=info msg="join connections" obj=join id=7b2c6c8acb92 l=[::1]:3389 r=35.199.5.104:46954
t=2021-11-22T20:50:43-0500 lvl=info msg="join connections" obj=join id=5e381909b112 l=[::1]:3389 r=35.231.211.58:36590
t=2021-11-22T20:50:44-0500 lvl=info msg="join connections" obj=join id=08fce47da6d3 l=[::1]:3389 r=35.231.211.58:32834
t=2021-11-22T20:50:45-0500 lvl=info msg="join connections" obj=join id=21658c345a36 l=[::1]:3389 r=35.231.211.58:32906
t=2021-11-22T20:50:46-0500 lvl=info msg="join connections" obj=join id=3d70a7852ef4 l=[::1]:3389 r=35.231.211.58:32934
t=2021-11-22T20:50:47-0500 lvl=info msg="join connections" obj=join id=248bf54d1b98 l=[::1]:3389 r=35.231.211.58:32954
t=2021-11-22T20:50:48-0500 lvl=info msg="join connections" obj=join id=36be26daadc6 l=[::1]:3389 r=35.231.211.58:32978
t=2021-11-22T20:53:38-0500 lvl=info msg="join connections" obj=join id=4c5fd4769117 l=[::1]:3389 r=88.135.241.136:62594
t=2021-11-22T20:56:14-0500 lvl=info msg="join connections" obj=join id=1700e13ab43a l=[::1]:3389 r=88.135.241.136:4444
t=2021-11-22T21:10:25-0500 lvl=info msg="join connections" obj=join id=1661cd2b7a89 l=[::1]:3389 r=35.199.5.104:33576
